date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason,data_source
2026-02-27,Air Arabia,G94150,Abu Dhabi,Muscat,UAE,Oman,Airbus A320neo,312,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Air Arabia,G93677,Amman,London,Jordan,UK,Airbus A330-300,232,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Air France,AF9279,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,359,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-27,Air France,AF3664,Doha,Paris,Qatar,France,Airbus A321neo,160,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-27,Air India,AI7141,Doha,London,Qatar,UK,Airbus A350-900,218,Fuel supply disruption,Original sample data
2026-02-27,Cargolux,CA1916,Doha,Abu Dhabi,Qatar,UAE,Boeing 787-10 Dreamliner,406,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Cargolux,CA8517,Abu Dhabi,Beijing,UAE,China,Airbus A320neo,315,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-27,Cathay Pacific,CA4527,Paris,Dubai,France,UAE,Airbus A321neo,368,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Cathay Pacific,CA4814,Abu Dhabi,London,UAE,UK,Airbus A340-600,394,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,Delta Air Lines,DE4733,Bahrain,Paris,Bahrain,France,Boeing 737-800,381,Security risk — conflict zone,Simulated — scaled from verified sample
2026-02-27,EgyptAir,MS5422,Tehran,Doha,Iran,Qatar,Airbus A320neo,407,Crew safety — company policy,Simulated — scaled from verified sample
2026-02-27,Emirates SkyCargo,EM4408,Frankfurt,Dubai,Germany,UAE,Airbus A330-300,359,Airport closure — military activity,Original sample data
2026-02-27,Emirates SkyCargo,EK8019,Mumbai,Abu Dhabi,India,UAE,Airbus A350-900,388,Government travel ban,Simulated — scaled from verified sample
2026-02-27,Etihad Airways,EY4483,Bahrain,London,Bahrain,UK,Airbus A350-900,369,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Gulf Air,GF6574,Los Angeles,Abu Dhabi,USA,UAE,Airbus A320neo,184,Diplomatic advisory — do not fly,Simulated — scaled from verified sample
2026-02-27,IndiGo,6E5506,Mumbai,Dubai,India,UAE,Boeing 777-200LR,289,Fuel supply disruption,Simulated — scaled from verified sample
2026-02-27,Iran Air,IR1886,Tehran,Beijing,Iran,China,Airbus A380-800,379,Airport closure — military activity,Original sample data
2026-02-27,Iran Air,IR2169,Los Angeles,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,310,Airspace closure — NOTAM,Simulated — scaled from verified sample
2026-02-27,Jazeera Airways,J99935,Los Angeles,Karachi,USA,Pakistan,Airbus A320neo,346,Government travel ban,Simulated — scaled from verified sample
2026-02-27,Jazeera Airways,J92535,Dubai,Kuwait City,UAE,Kuwait,Boeing 737 MAX 8,197,Insurance restriction — war zone,Simulated — scaled from verified sample
2026-02-27,Jazeera Airways,J98359,Singapore,Beijing,Singapore,China,Airbus A380-800,385,Fuel supply disruption,Simulated — scaled from verified sample
